Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
Rui Hachimura,21,JR,F,6-8,230,Toyama Japan,Meisei HIgh School,,19.7 Pts 6.5 Reb 1.5 Ast
Brandon Clarke,15,JR,F,6-8,215,Phoenix AZ,Desert Vista HS,,16.9 Pts 8.6 Reb 1.9 Ast
Zach Norvell Jr.,23,SO,G,6-5,205,Chicago IL,Simeon Career Academy,,14.9 Pts 4.3 Reb 3.1 Ast
Josh Perkins,13,SR,G,6-3,190,Park Hill CO,Huntington Prep HS,60 (2014),11.0 Pts 2.7 Reb 6.3 Ast
Corey Kispert,24,SO,F,6-6,215,Edmonds WA,King's Way Christian School,,8.0 Pts 4.1 Reb 1.0 Ast
Filip Petrusev,3,FR,F,6-11,225,Belgrade Serbia,Montverde Academy,81 (2018),6.5 Pts 2.7 Reb 0.3 Ast
Geno Crandall,0,SR,G,6-3,175,Minneapolis MN,DeLaSalle HS,,5.0 Pts 1.9 Reb 2.2 Ast
Jeremy Jones,22,SR,F,6-7,213,San Antonio TX,East Central,,3.1 Pts 3.2 Reb 0.9 Ast
Killian Tillie,33,JR,F,6-10,220,Cagnes-sur-Mer France,INSEP Academy,,6.2 Pts 3.9 Reb 1.5 Ast
Joel Ayayi,11,FR,G,6-5,180,Paris France,Institut national du sport (France),,1.7 Pts 1.4 Reb 0.5 Ast
Greg Foster Jr,4,FR,G,6-5,195,Milwaukee WI,Ed W. Clark HS,,0.7 Pts 0.4 Reb 0.4 Ast
Jack Beach,2,JR,G,6-3,180,San Diego CA,Torrey Pines HS,,0.7 Pts 0.3 Reb 0.1 Ast
Matthew Lang,10,FR,G,6-3,185,Portland OR,Jesuit HS,,0.7 Pts 0.4 Reb 0.0 Ast
Alex Martin,5,JR,G,6-5,205,Overland Park KS,Blue Valley High School,,0.0 Pts 0.0 Reb 0.0 Ast
